name,code,permission_codes,descrition,color
Quản lý,manager,"ACCESS_SETTING,VIEW_USER,CREATE_USER,UPDATE_USER,DELETE_USER,VIEW_MEMBER,CREATE_MEMBER,UPDATE_MEMBER,DELETE_MEMBER,VIEW_ROLE,CREATE_ROLE,UPDATE_ROLE,DELETE_ROLE,VIEW_PERMISSION,CREATE_PERMISSION,UPDATE_PERMISSION,DELETE_PERMISSION,ASSIGN_ROLE_TO_USER,VIEW_BRANCH,CREATE_BRANCH,UPDATE_BRANCH,DELETE_BRANCH,ASSIGN_BRANCH,VIEW_PUBLICATION,CREATE_PUBLICATION,UPDATE_PUBLICATION,DELETE_PUBLICATION,BORROW_PUBLICATION,RETURN_PUBLICATION,EXTEND_BORROWING_PERIOD,CREATE_BORROW_SLIP,UPDATE_BORROW_SLIP,VIEW_BORROW_SLIP,DELETE_BORROW_SLIP,VIEW_PUBLISHER,CREATE_PUBLISHER,UPDATE_PUBLISHER,DELETE_PUBLISHER,VIEW_LANGUAGE,CREATE_LANGUAGE,UPDATE_LANGUAGE,DELETE_LANGUAGE,VIEW_AUTHOR,CREATE_AUTHOR,UPDATE_AUTHOR,DELETE_AUTHOR,VIEW_GENRE,CREATE_GENRE,UPDATE_GENRE,DELETE_GENRE,VIEW_CATEGORY,CREATE_CATEGORY,UPDATE_CATEGORY,DELETE_CATEGORY,VIEW_INVENTORY,CREATE_INVENTORY,UPDATE_INVENTORY,DELETE_INVENTORY,IMPORT_INVENTORY,EXPORT_INVENTORY,VIEW_CLASS_AND_SCHOOL_YEAR,CREATE_CLASS_AND_SCHOOL_YEAR,UPDATE_CLASS_AND_SCHOOL_YEAR,DELETE_CLASS_AND_SCHOOL_YEAR,CREATE_BORROWING_POLICY,VIEW_BORROWING_POLICY,VIEW_ALL_BORROWING_POLICY,UPDATE_BORROWING_POLICY,DELETE_BORROWING_POLICY","Quản lý hệ thống","#0000FF"
Giám sát,monitor,"VIEW_USER,VIEW_MEMBER,VIEW_ROLE,VIEW_PERMISSION,VIEW_BRANCH,VIEW_PUBLICATION,VIEW_BORROW_SLIP,VIEW_PUBLISHER,VIEW_LANGUAGE,VIEW_AUTHOR,VIEW_GENRE,VIEW_CATEGORY,VIEW_INVENTORY,VIEW_CLASS_AND_SCHOOL_YEAR","Giám sát và theo dõi hệ thống","#800080"
Người dùng,user,"VIEW_USER,VIEW_MEMBER,VIEW_ROLE,VIEW_PERMISSION,VIEW_BRANCH,VIEW_PUBLICATION,VIEW_BORROW_SLIP,VIEW_PUBLISHER,VIEW_LANGUAGE,VIEW_AUTHOR,VIEW_GENRE,VIEW_CATEGORY,VIEW_INVENTORY,VIEW_CLASS_AND_SCHOOL_YEAR","Thủ thư, ...","#008000"
